k,d,time,accuracy,precision,recall,f1,confusion
26,2,29.992146492004395,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
26,3,49.64657306671143,0.8878562381967575,0.7678737233054782,0.1216668505645665,0.2100517509604089,"[[193678   1000]
 [ 23881   3308]]"
26,4,169.15921330451965,0.8773860015234353,0.4996487283967964,0.3923645591967339,0.4395550061804697,"[[183995  10683]
 [ 16521  10668]]"
27,2,35.184019804000854,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
27,3,55.57352375984192,0.8887126071024533,0.7712858384013901,0.1306042884990253,0.2233825055829899,"[[193625   1053]
 [ 23638   3551]]"
27,4,188.2589135169983,0.8754704394975368,0.4901309886954961,0.4018536908308507,0.4416240577191245,"[[183312  11366]
 [ 16263  10926]]"
28,2,33.48866581916809,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
28,3,55.05944561958313,0.889145298760068,0.7462969996202051,0.1445437493103828,0.2421814820520721,"[[193342   1336]
 [ 23259   3930]]"
28,4,193.3027594089508,0.8737216440480108,0.4821613236814891,0.4115634999448306,0.4440740520269063,"[[182660  12018]
 [ 15999  11190]]"
29,2,36.27713418006897,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
29,3,59.39927577972412,0.8908760653905268,0.7787345563459378,0.1530030527051381,0.2557560480772186,"[[193496   1182]
 [ 23029   4160]]"
29,4,204.34376525878903,0.8736720647955757,0.4819562131704589,0.4121151936444885,0.4443078631190769,"[[182634  12044]
 [ 15984  11205]]"
30,2,33.0472137928009,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
30,3,56.2426552772522,0.8909346590524954,0.7519797809604044,0.1641472654382287,0.2694722859558024,"[[193206   1472]
 [ 22726   4463]]"
30,4,201.2526524066925,0.8741363068865582,0.4836328055506138,0.3999411526720365,0.4378233648058301,"[[183068  11610]
 [ 16315  10874]]"
31,2,39.45501208305359,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
31,3,63.488791704177856,0.892020895401299,0.7673726009265387,0.1705836919342381,0.279120151656486,"[[193272   1406]
 [ 22551   4638]]"
31,4,208.8726439476013,0.8757769294216805,0.491109836535704,0.3779101842656956,0.4271372451206585,"[[184031  10647]
 [ 16914  10275]]"
32,2,37.449786901474,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
32,3,61.81890940666199,0.8923048493016086,0.7507992084031055,0.1813968884475339,0.2921974050595414,"[[193041   1637]
 [ 22257   4932]]"
33,2,37.54202747344971,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
33,3,59.19418549537659,0.8932243190740399,0.7552896541660586,0.1903711059619699,0.3040949415428001,"[[193001   1677]
 [ 22013   5176]]"
34,2,37.78650951385498,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
34,3,61.69105100631714,0.8939499790414979,0.7568060623070446,0.1983522748170215,0.3143231822818009,"[[192945   1733]
 [ 21796   5393]]"
35,2,38.89697909355164,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
35,3,64.34414410591125,0.894170832075072,0.7428309545633102,0.2086505572106366,0.3257910756331476,"[[192714   1964]
 [ 21516   5673]]"
36,2,39.39464449882507,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
36,3,63.67952060699463,0.8951488955094719,0.7472292191435769,0.2182132480047078,0.3377835975974266,"[[192671   2007]
 [ 21256   5933]]"
37,2,44.72174429893494,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
37,3,70.59994769096375,0.8945494372754849,0.7286317058468957,0.2222957813821766,0.3406605794160748,"[[192427   2251]
 [ 21145   6044]]"
38,2,41.93602299690247,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
38,3,68.69378113746643,0.8945539444802517,0.7205813953488373,0.2279230571186877,0.3463075246584146,"[[192275   2403]
 [ 20992   6197]]"
39,2,49.63289475440979,0.8774536095949375,0.0,0.0,0.0,"[[194678      0]
 [ 27189      0]]"
39,3,77.76972484588623,0.8959646995722663,0.7242546685595719,0.2439221744087682,0.3649369944423045,"[[192153   2525]
 [ 20557   6632]]"
40,2,42.004230976104736,0.8775122032569062,1.0,0.0004781345397035,0.0009558120726417,"[[194678      0]
 [ 27176     13]]"
40,3,70.782155752182,0.8951939675571401,0.7091836734693877,0.2453933576078561,0.364620050823838,"[[191942   2736]
 [ 20517   6672]]"
